epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9944,2.80931,3.99798,2.26755,0.01133,0.51515,0.00937,0.00237,2.71114,3.9708,2.39214,0,0,0
2,138.214,2.69579,3.88497,2.24593,0.01267,0.57576,0.01038,0.00243,2.70306,3.94293,2.36791,1.9802e-05,1.9802e-05,1.9802e-05
3,186.304,2.70556,3.96675,2.19036,0.01267,0.57576,0.01047,0.0023,2.74469,3.92353,2.38604,3.9208e-05,3.9208e-05,3.9208e-05
4,235.147,2.7298,3.80434,2.31013,0.01267,0.57576,0.01072,0.00238,2.75736,3.9011,2.39615,5.8218e-05,5.8218e-05,5.8218e-05
5,282.855,2.58386,3.76117,2.32736,0.012,0.54545,0.01011,0.00227,2.7563,3.88986,2.40732,7.6832e-05,7.6832e-05,7.6832e-05
6,330.318,2.66106,3.86028,2.27578,0.01067,0.48485,0.00862,0.00192,2.77946,3.85663,2.40798,9.505e-05,9.505e-05,9.505e-05
7,377.009,2.68173,3.90197,2.19922,0.00933,0.42424,0.00713,0.0017,2.8134,3.84344,2.42554,0.000112872,0.000112872,0.000112872
8,423.434,2.62202,3.89215,2.3357,0.42213,0.39394,0.34068,0.0783,2.52956,2.41172,2.03779,0.000130298,0.000130298,0.000130298
9,473.483,2.25331,2.65035,1.83356,0.52367,0.69697,0.56972,0.19039,2.23921,5.42146,1.75968,0.000147328,0.000147328,0.000147328
10,524.872,1.94617,2.18506,1.61586,0.45057,0.29839,0.33851,0.12767,2.18106,3.34313,1.671,0.000163962,0.000163962,0.000163962
11,573.585,1.76945,1.91523,1.66058,0.71001,0.69697,0.71825,0.29336,2.02056,1.86471,1.60748,0.0001802,0.0001802,0.0001802
12,622.67,1.77694,1.54255,1.57805,0.72979,0.57576,0.63105,0.20758,2.29298,2.22104,1.79333,0.000196042,0.000196042,0.000196042
13,671.886,1.6472,1.27523,1.46926,0.70836,0.81818,0.77135,0.29666,2.25988,3.05312,1.90555,0.000211488,0.000211488,0.000211488
14,721.73,1.70343,1.25956,1.50182,0.77122,0.84848,0.77801,0.36423,2.03473,1.7663,1.71386,0.000226538,0.000226538,0.000226538
15,770.943,1.63451,1.25234,1.39522,0.79276,0.81159,0.75776,0.26771,2.25368,1.57534,1.96796,0.000241192,0.000241192,0.000241192
16,819.48,1.53369,1.0592,1.4319,0.86667,0.81818,0.8276,0.27935,2.14018,1.87359,1.8859,0.00025545,0.00025545,0.00025545
17,870.341,1.59594,1.09106,1.4633,0.84487,0.78788,0.82322,0.25767,2.23147,1.49039,1.95085,0.000269312,0.000269312,0.000269312
18,920.107,1.50702,1.01171,1.33528,0.72433,0.71683,0.69276,0.25689,2.19456,1.68793,1.95574,0.000282778,0.000282778,0.000282778
19,968.909,1.43245,0.91529,1.31576,0.66735,0.57576,0.514,0.19923,2.41344,2.20121,2.15725,0.000295848,0.000295848,0.000295848
20,1017.49,1.61776,0.94664,1.39204,0.66735,0.57576,0.514,0.19923,2.41344,2.20121,2.15725,0.000308522,0.000308522,0.000308522
21,1063.6,1.45512,0.93806,1.29903,0.72226,0.63636,0.62219,0.22231,2.27351,1.91337,2.03398,0.0003208,0.0003208,0.0003208
22,1115.45,1.5916,0.92668,1.46914,0.72226,0.63636,0.62219,0.22231,2.27351,1.91337,2.03398,0.000332682,0.000332682,0.000332682
23,1167.52,1.44056,0.82435,1.25183,0.68521,0.72561,0.68163,0.28819,1.98312,1.6904,1.781,0.000344168,0.000344168,0.000344168
24,1216.56,1.51663,0.91373,1.27089,0.68521,0.72561,0.68163,0.28819,1.98312,1.6904,1.781,0.000355258,0.000355258,0.000355258
25,1268.92,1.56625,0.89994,1.30995,0.72517,0.75758,0.71791,0.24426,2.16437,1.73457,2.00211,0.000365952,0.000365952,0.000365952
26,1317.22,1.37738,0.86265,1.22974,0.72517,0.75758,0.71791,0.24426,2.16437,1.73457,2.00211,0.00037625,0.00037625,0.00037625
27,1368.17,1.4957,0.91267,1.39403,0.83951,0.75758,0.76067,0.29499,2.09761,1.92077,1.86978,0.000386152,0.000386152,0.000386152
28,1416.89,1.2999,0.85245,1.19117,0.83951,0.75758,0.76067,0.29499,2.09761,1.92077,1.86978,0.000395658,0.000395658,0.000395658
29,1467.03,1.28053,0.78163,1.13546,0.68147,0.81818,0.72714,0.34105,1.98793,1.62308,1.79494,0.000404768,0.000404768,0.000404768
30,1516.27,1.29594,0.77323,1.25928,0.68147,0.81818,0.72714,0.34105,1.98793,1.62308,1.79494,0.000413482,0.000413482,0.000413482
31,1566.39,1.32854,0.80809,1.19031,0.76323,0.7816,0.78289,0.34916,1.98365,1.50173,1.97386,0.0004218,0.0004218,0.0004218
32,1615.88,1.28033,0.83039,1.21708,0.76323,0.7816,0.78289,0.34916,1.98365,1.50173,1.97386,0.000429722,0.000429722,0.000429722
33,1667.47,1.32769,0.82492,1.23268,0.72322,0.84848,0.72665,0.31896,1.97958,2.05866,2.03852,0.000437248,0.000437248,0.000437248
34,1718.27,1.48144,0.78362,1.21961,0.72322,0.84848,0.72665,0.31896,1.97958,2.05866,2.03852,0.000444378,0.000444378,0.000444378
35,1767.92,1.42392,0.76591,1.24824,0.51042,0.54545,0.42511,0.1253,2.54739,3.18344,2.71617,0.000451112,0.000451112,0.000451112
36,1818.54,1.20205,0.77258,1.12335,0.51042,0.54545,0.42511,0.1253,2.54739,3.18344,2.71617,0.00045745,0.00045745,0.00045745
37,1868.92,1.21468,0.74492,1.17684,0.50254,0.51515,0.36277,0.09973,2.76772,2.74961,3.00793,0.000463392,0.000463392,0.000463392
38,1917.11,1.15682,0.7281,1.15583,0.50254,0.51515,0.36277,0.09973,2.76772,2.74961,3.00793,0.000468938,0.000468938,0.000468938
39,1966.69,1.14135,0.70545,1.08873,0.6161,0.63636,0.54541,0.17157,2.64231,2.0907,2.84605,0.000474088,0.000474088,0.000474088
40,2019.13,1.14071,0.6444,1.10832,0.6161,0.63636,0.54541,0.17157,2.64231,2.0907,2.84605,0.000478842,0.000478842,0.000478842
41,2069.36,1.19764,0.70238,1.15494,0.56447,0.3928,0.29895,0.07696,3.13994,2.20639,3.5658,0.0004832,0.0004832,0.0004832
42,2119.13,1.25632,0.69868,1.15835,0.56447,0.3928,0.29895,0.07696,3.13994,2.20639,3.5658,0.000487162,0.000487162,0.000487162
43,2169.42,1.07778,0.61709,1.06016,0.53689,0.51515,0.45163,0.11277,2.8518,2.35842,2.96962,0.000490728,0.000490728,0.000490728
44,2218.07,1.19939,0.65921,1.10576,0.53689,0.51515,0.45163,0.11277,2.8518,2.35842,2.96962,0.000493898,0.000493898,0.000493898
45,2264.07,1.19996,0.64981,1.0991,0.60297,0.57576,0.48697,0.12324,2.64404,2.50509,2.66324,0.000496672,0.000496672,0.000496672
46,2315.44,1.02735,0.64052,1.03886,0.60297,0.57576,0.48697,0.12324,2.64404,2.50509,2.66324,0.00049905,0.00049905,0.00049905
47,2367.87,1.03731,0.62758,1.03731,0.60243,0.55115,0.45623,0.12921,2.76893,2.88381,2.72433,0.000501032,0.000501032,0.000501032
48,2417.52,0.94451,0.58962,1.02895,0.60243,0.55115,0.45623,0.12921,2.76893,2.88381,2.72433,0.000502618,0.000502618,0.000502618
49,2465.89,1.02155,0.57367,1.0209,0.56968,0.54545,0.50141,0.14688,2.9174,2.877,2.98238,0.000503808,0.000503808,0.000503808
50,2516.1,0.89346,0.55142,0.99084,0.56968,0.54545,0.50141,0.14688,2.9174,2.877,2.98238,0.000504602,0.000504602,0.000504602
51,2565.68,0.93675,0.54255,0.98767,0.59404,0.54545,0.51154,0.1258,2.97888,3.581,3.23326,0.000505,0.000505,0.000505
52,2619.03,0.99354,0.56607,0.99479,0.59404,0.54545,0.51154,0.1258,2.97888,3.581,3.23326,0.000505002,0.000505002,0.000505002
53,2671.14,1.00509,0.57661,1.06272,0.56992,0.51515,0.41825,0.10849,3.04665,3.77007,3.44553,0.000504608,0.000504608,0.000504608
54,2721.99,1.08915,0.63192,1.07388,0.56992,0.51515,0.41825,0.10849,3.04665,3.77007,3.44553,0.000503818,0.000503818,0.000503818
